Date,Return,Cumulative_Return
2014-01-03,-0.0019607385031931157,0.9980392614968069
2014-01-06,-0.003929018538679552,0.9941179467360559
2014-01-07,0.008068641019447487,1.0021391275792593
2014-01-08,-0.00035561183895194137,1.001782755041215
2014-01-09,-0.0005338099617101522,1.0012479934271046
2014-01-10,0.0021362182245032724,1.003386877637911
2014-01-13,-0.013856789593247099,0.9894831567938572
2014-01-14,0.01152955638631914,1.000891458643425
2014-01-15,0.004986392825987673,1.0058822966323968
2014-01-16,0.0005318763282291528,1.0064173016149605
2014-01-17,-0.0026565976366130784,1.0037436557900437
2014-01-21,0.003906689460133617,1.0076649705507945
2014-01-22,-0.0024766786936880614,1.0051693081878557
2014-01-23,-0.007447918642273121,0.9976828889587626
2014-01-24,-0.020725499403378866,0.9770054128388864
2014-01-27,-0.008027710138901134,0.9691622965804784
2014-01-28,0.0018393129838722988,0.9709448893760584
2014-01-29,-0.008628749386113577,0.9625668492579046
2014-01-30,0.007407747639173845,0.9696973015630418
2014-01-31,-0.004595661820393726,0.9652409006969097
2014-02-03,-0.023453266807373363,0.9426028483194757
2014-02-04,0.007753204238340361,0.9499110407181379
2014-02-05,-0.002814883793063827,0.9472371515247681
2014-02-06,0.012232005241945343,0.9588237613275844
2014-02-07,0.015616432259853319,0.9737971676454944
2014-02-10,0.002196353777820237,0.9759359707334833
2014-02-11,0.010776161061302414,0.9864528139396258
2014-02-12,0.0021685869530176927,0.9885920226417029
2014-02-13,0.006490944549324862,0.9950089186425751
2014-02-14,0.004299633858094065,0.9992870926782763
2014-02-18,0.0035677290513225213,1.0028522782694362
2014-02-19,-0.007287811147383083,0.9955436802566857
2014-02-20,0.007520419359267949,1.003030586222685
2014-02-21,-0.0021326643560444225,1.0008914586434254
2014-02-24,0.005520921298524106,1.0064173016149607
2014-02-25,-0.0012400357437239995,1.0051693081878559
2014-02-26,0.00336954056708616,1.0085562669485848
2014-02-27,0.0026512047775577585,1.0112301561419548
