date,Return
2012-11-20,0.0008560565237350921
2012-11-21,0.0030614003224003314
2012-11-23,0.0076476136790228095
2012-11-26,0.00824898747254516
2012-11-27,-0.0005976480962969043
2012-11-28,0.012987502287452171
2012-11-29,0.0078204745807471
2012-11-30,0.0006073301620238644
2012-12-03,-0.0007877848513919208
2012-12-04,-0.004243176019402216
2012-12-05,-0.013067523029209934
2012-12-06,0.00011093867554776663
2012-12-07,0.0018114547753718107
2012-12-10,0.004506334181808585
2012-12-11,0.013341613974965189
2012-12-12,-0.0027218524932949386
2012-12-13,-0.00466644404198181
2012-12-14,-0.006902352763265362
2012-12-17,0.012306797810355997
2012-12-18,0.010489580891694755
2012-12-19,-0.003110037575434216
2012-12-20,0.0015004900121840475
2012-12-21,-0.012823057357181469
2012-12-24,-0.0025592194289377284
2012-12-26,-0.011827071750168072
2012-12-27,-0.0014113531717885226
2012-12-28,-0.010802565617712376
2012-12-31,0.016173073295510685
2013-01-02,0.03064687646389052
2013-01-03,-0.00473255997495162
2013-01-04,0.004025870741577052
2013-01-07,-0.0008221705910803015
2013-01-08,-0.009730224815769866
2013-01-09,0.0036280366357500458
2013-01-10,0.0042668177201230775
2013-01-11,0.00038428613816870083
2013-01-14,-0.0036206568267939635
2013-01-15,-0.003794985254163773
2013-01-16,-0.002403108455824583
2013-01-17,0.005981237012517819
2013-01-18,-0.0030142573775462996
2013-01-22,0.007440656036052034
2013-01-23,0.01222223310033255
2013-01-24,0.009373738780191895
2013-01-25,0.010204028065638878
2013-01-28,0.004148120354348419
2013-01-29,-0.015164567634758508
2013-01-30,0.006170201037932919
2013-01-31,-0.007085011120669391
2013-02-01,0.00581926415194394
2013-02-04,-0.02273591246610758
2013-02-05,0.013540707622908762
2013-02-06,0.0035108888507697925
2013-02-07,-0.0015712181281528667
2013-02-08,0.005115691652233289
2013-02-11,-0.006822384118770321
2013-02-12,-0.006578594323893208
2013-02-13,0.012944877316188328
2013-02-14,0.003409375905185212
2013-02-15,-0.007875024025812359
2013-02-19,0.02054371498847028
2013-02-20,-0.014728378477611066
2013-02-21,-0.023209376558008997
2013-02-22,0.007640925231930552
2013-02-25,-0.017494838442509892
2013-02-26,0.002047187911926018
2013-02-27,0.009139514796665388
2013-02-28,0.0011656277656061946
2013-03-01,0.00555311474003255
2013-03-04,0.012808406667125882
2013-03-05,0.01210498160663649
2013-03-06,0.0005151090717668448
2013-03-07,0.009388890929960902
2013-03-08,-0.002027972360966633
2013-03-11,0.002367484571262564
2013-03-12,-0.001843112152208934
2013-03-13,-0.004462487056234496
2013-03-14,-0.012913528976405818
2013-03-15,-0.013627899158500208
2013-03-18,-0.006842722719037921
2013-03-19,-0.0014380012398097018
2013-03-20,0.004252956338415445
2013-03-21,-0.0072051688397246
2013-03-22,0.007900057536254336
2013-03-25,-0.0026419326105244167
2013-03-26,0.006710888948279872
2013-03-27,0.008754778241837798
2013-03-28,-0.002658066957087941
2013-04-01,0.017151572975845856
2013-04-02,0.004795383554387595
2013-04-03,-0.013686271257255148
2013-04-04,0.006725580132222624
2013-04-05,-0.006464307850776721
2013-04-08,0.0006004763848751684
2013-04-09,0.00068098677410258
2013-04-10,0.021847371972508804
2013-04-11,0.005308402593891172
2013-04-12,-0.0023824213692051773
2013-04-15,-0.017725154549240157
2013-04-16,0.019971478221035614
2013-04-17,-0.013374987807242469
2013-04-18,-0.0129951420997591
2013-04-19,0.013647454262239175
2013-04-22,0.012983443666453874
2013-04-23,0.00821302999328633
2013-04-24,0.005726794790091926
2013-04-25,0.009286636328420722
2013-04-26,-0.012296734723681105
2013-04-29,0.018153640426431583
2013-04-30,0.009163490992649157
2013-05-01,-0.011172535984809478
2013-05-02,0.019158925225969972
2013-05-03,0.005439215973117284
2013-05-06,0.013898055276730811
2013-05-07,-0.0171291063082855
2013-05-08,0.007246856065884576
2013-05-09,0.03350268560128872
2013-05-10,0.018090508567396888
2013-05-13,0.023800270522901592
2013-05-14,0.0010631443663581819
2013-05-15,0.008323691823228457
2013-05-16,0.007088077764020132
2013-05-17,0.00855768855083624
2013-05-20,-0.003294262547860292
2013-05-21,-0.0026289240203987542
2013-05-22,-0.014541733698480433
2013-05-23,0.00746970953114581
2013-05-24,0.0047792033228077945
2013-05-28,0.028598194797334858
2013-05-29,-0.013939687797718687
2013-05-30,0.005319557059696174
2013-05-31,-0.015153734003932448
2013-06-03,-0.005585982255937519
2013-06-04,-0.0021003953402159185
2013-06-05,-0.00669654418477051
2013-06-06,0.00800302706530812
2013-06-07,0.02208283001403955
2013-06-10,-0.0005084584295432473
2013-06-11,-0.021089907163488367
2013-06-12,-0.0008527294481651619
2013-06-13,0.009417688906692073
2013-06-14,-0.0012755317978002214
2013-06-17,0.01285298103140176
2013-06-18,0.006885508053706405
2013-06-19,-0.00023236310493180638
2013-06-20,-0.026579692243403643
2013-06-21,-0.0038326739941946524
2013-06-24,-0.004469445185957634
2013-06-25,0.0046346738364118085
2013-06-26,0.013095047002526007
2013-06-27,0.006875664251219711
2013-06-28,-0.0025111657685806224
2013-07-01,0.018561677820730135
2013-07-02,-0.001304167657899522
2013-07-03,-0.001224240822934806
2013-07-05,0.012830475634947606
2013-07-08,0.007029392473724218
2013-07-09,0.0052836283359602556
2013-07-10,0.0033540586340883977
2013-07-11,0.020138243052341957
2013-07-12,0.008904624691696825
2013-07-15,-0.0007109446975549726
2013-07-16,-0.02183989768482065
2013-07-17,0.013423223832787348
2013-07-18,-0.005751008900835028
2013-07-19,-0.02231059643098513
2013-07-22,0.008675151358486843
