Date,Return
2012-06-05,0.02130420356192859
2012-06-06,0.001520230353336103
2012-06-07,0.0070522047525135
2012-06-08,-0.012326465715725949
2012-06-11,0.011225803517425347
2012-06-12,-0.007698976973304956
2012-06-13,0.010663310583178827
2012-06-14,0.009582261784078191
2012-06-15,0.0023327362287603047
2012-06-18,0.01023260553748699
2012-06-19,-0.0028298458249439717
2012-06-20,-0.02440404444037097
2012-06-21,0.007198319295491538
2012-06-22,-0.016508655235308884
2012-06-25,0.005535365101091424
2012-06-26,0.01071004819847155
2012-06-27,-0.001343566472846176
2012-06-28,0.024933892138741837
2012-06-29,0.0012488020188809509
2012-07-02,0.008984349643074211
2012-07-03,-0.005181918507773077
2012-07-05,-0.010304453422015351
2012-07-06,-0.0015634209157827093
2012-07-09,-0.010541078737531951
2012-07-10,0.0007825052377514775
2012-07-11,-0.003822495072157458
2012-07-12,0.0154472838985762
2012-07-13,-0.0008548748663668914
2012-07-16,0.008853020423156116
2012-07-17,0.008397862997577889
2012-07-18,0.004079468491631717
2012-07-19,-0.008325586512641465
2012-07-20,-0.010416993254386832
2012-07-23,-0.011378311351152741
2012-07-24,0.0009046138690087782
2012-07-25,0.01572758936214107
2012-07-26,0.01990717272648704
2012-07-27,-0.001013987394537235
2012-07-30,-0.004992424408596912
2012-07-31,-0.0011033609455407874
2012-08-01,-0.009424770050991231
2012-08-02,0.018914555737953302
2012-08-03,0.0034908276169373837
2012-08-06,0.006698195802896478
2012-08-07,0.0008574014031697267
2012-08-08,0.002464333185915786
2012-08-09,0.0021851412193962367
2012-08-10,-0.001537987296251354
2012-08-13,-0.0007402387942729458
2012-08-14,0.0012941300215140105
2012-08-15,0.007326836140990974
2012-08-16,0.0006548292582343054
2012-08-17,-0.0005591189442335709
2012-08-20,-0.0026644256734735905
2012-08-21,0.00145185151486485
2012-08-22,-0.00839668191968077
2012-08-23,0.005630954772854411
2012-08-24,-0.0005627760289209671
2012-08-27,-0.0012859455471450382
2012-08-28,0.00021747358291074797
2012-08-29,-0.007731837214819754
2012-08-30,0.0065697348170297605
2012-08-31,-0.003682646422313701
2012-09-04,-0.0008755802839601816
2012-09-05,0.02027731349121931
2012-09-06,0.0072063951545210505
2012-09-07,-0.005332065327380987
2012-09-10,0.004532653452164187
2012-09-11,0.0029799966016878466
2012-09-12,0.015517934828675655
2012-09-13,0.0051444605963657415
2012-09-14,-0.0038420215413514543
2012-09-17,-0.0020268166553776296
2012-09-18,-0.0003355201870716641
2012-09-19,-0.0005142096815075903
2012-09-20,-4.067765773471254e-05
2012-09-21,-0.0009416389683001371
2012-09-24,-0.009903440778940405
2012-09-25,-0.0059287009235088626
2012-09-26,0.009059302339073254
2012-09-27,-0.003996562635657649
2012-09-28,0.003248190918567223
2012-10-01,0.0014263033797687556
2012-10-02,0.0022406489405922443
2012-10-03,0.008566619929875464
2012-10-04,-0.0001972021990558628
2012-10-05,-0.0014799011458335087
2012-10-08,-0.007759377177189229
2012-10-09,-0.008249471643453361
2012-10-10,0.0025876040361835664
2012-10-11,-0.0046070708713109604
2012-10-12,0.008676872942884724
2012-10-15,0.011436142408470185
2012-10-16,0.006355062958862236
2012-10-17,-0.0006451756971622782
2012-10-18,-0.016954398313707472
2012-10-19,-0.0002724459531960709
2012-10-22,-0.016217634798420647
2012-10-23,-0.0032204481795273993
2012-10-24,0.00441140072200514
2012-10-25,-0.0010447232983743968
2012-10-26,-0.0002349297354416847
2012-10-31,0.009739083441645029
2012-11-01,-0.0100799521041021
2012-11-02,0.002225065715349376
2012-11-05,0.00799885756053739
2012-11-06,-0.024611671310752363
2012-11-07,-0.012725605890069342
2012-11-08,0.0014306950169058787
2012-11-09,0.0014147003023870413
2012-11-12,-0.004240109850511188
2012-11-13,-0.013556271491380535
2012-11-14,-0.0015019463014859127
2012-11-15,0.00480738005736741
2012-11-16,0.019193250650487766
2012-11-19,0.0006549301389904093
2012-11-20,0.001695567218418056
2012-11-21,0.012884017327050844
2012-11-23,-0.0024839669733210446
2012-11-26,-0.00615747659153489
2012-11-27,0.0066098445252266045
2012-11-28,0.0049277582745801875
2012-11-29,-7.484440693911334e-05
2012-11-30,-0.004505542089425403
2012-12-03,-0.0011441577493330978
2012-12-04,0.0030525267613498892
2012-12-05,0.0026528426442039956
2012-12-06,0.0034530456427932445
2012-12-07,0.001139449345168187
2012-12-10,0.007916824202463155
2012-12-11,0.0009137045764849095
2012-12-12,-0.006893634432290224
2012-12-13,-0.004444030511820065
2012-12-14,0.012052432806685887
2012-12-17,0.013190459190132413
2012-12-18,-0.007025927208076847
2012-12-19,0.005905062889959817
2012-12-20,-0.009382622416994089
2012-12-21,-0.0035201163002386033
2012-12-24,-0.0032471765736115698
2012-12-26,-0.001967685308342636
2012-12-27,-0.011655427074320126
2012-12-28,0.01591941882408708
2012-12-31,0.02498151187752777
2013-01-02,-0.001726817126298319
2013-01-03,0.00608884457814686
2013-01-04,-0.002508092539925866
2013-01-07,-0.00256913649146401
2013-01-08,0.0030210037730640936
2013-01-09,0.007613585733813819
2013-01-10,-0.0001690693865821142
2013-01-11,-0.0013962719940856507
2013-01-14,0.0005942360811046311
2013-01-15,0.00034983184618073593
2013-01-16,0.00549793215089935
2013-01-17,0.004076626636101494
2013-01-18,0.006047778147256047
2013-01-22,0.00045842652072444653
2013-01-23,0.0007867828013588513
2013-01-24,0.0056161057316510415
2013-01-25,-0.001914349345858538
2013-01-28,0.00734539514394225
2013-01-29,-0.004190041407819718
2013-01-30,-0.002088776914485048
2013-01-31,0.009662596429846449
